GDS 0.000966527 10 1
CopyCPU 0.000144369 10 1
GDS 0.000730629 100 1
CopyCPU 0.000143609 100 1
GDS 0.000791712 1000 1
CopyCPU 0.000179627 1000 1
GDS 0.00172219 10000 1
CopyCPU 0.000256929 10000 1
GDS 0.00210193 100000 1
CopyCPU 0.000802537 100000 1
GDS 0.00461176 1000000 1
CopyCPU 0.00604858 1000000 1
GDS 0.0398246 10000000 1
CopyCPU 0.103224 10000000 1
GDS 0.000758412 10 1
CopyCPU 0.000145727 10 1
GDS 0.000744588 100 1
CopyCPU 0.000139004 100 1
GDS 0.000746089 1000 1
CopyCPU 0.000185622 1000 1
GDS 0.00155101 10000 1
CopyCPU 0.000243601 10000 1
GDS 0.00223342 100000 1
CopyCPU 0.000804766 100000 1
GDS 0.00462904 1000000 1
CopyCPU 0.00597688 1000000 1
GDS 0.0407486 10000000 1
CopyCPU 0.109621 10000000 1
GDS 0.000948615 10 1
CopyCPU 0.000144694 10 1
GDS 0.000732872 100 1
CopyCPU 0.000141814 100 1
GDS 0.000735655 1000 1
CopyCPU 0.000197619 1000 1
GDS 0.00155141 10000 1
CopyCPU 0.000242915 10000 1
GDS 0.00201858 100000 1
CopyCPU 0.000770915 100000 1
GDS 0.00481167 1000000 1
CopyCPU 0.00610486 1000000 1
GDS 0.0397211 10000000 1
CopyCPU 0.0990815 10000000 1
GDS 0.864235 200000000 1
CopyCPU 2.04658 200000000 1
GDS 1.20237 300000000 1
CopyCPU 3.15601 300000000 1
GDS 1.77664 400000000 1
CopyCPU 4.17112 400000000 1
GDS 2.09179 500000000 1
CopyCPU 5.1375 500000000 1
GDS 2.25717 500000000 1
CopyCPU 5.15878 500000000 1
GDS 1.56942 400000000 1
CopyCPU 4.14033 400000000 1
