GDS 0.00065069 10 1
CopyCPU 5.018e-05 10 1
GDS 0.000608189 100 1
CopyCPU 2.3816e-05 100 1
GDS 0.000595034 1000 1
CopyCPU 3.4257e-05 1000 1
GDS 0.00159674 10000 1
CopyCPU 7.8677e-05 10000 1
GDS 0.00171805 100000 1
CopyCPU 0.000573688 100000 1
GDS 0.00362718 1000000 1
CopyCPU 0.00458851 1000000 1
GDS 0.0223357 10000000 1
CopyCPU 0.0470603 10000000 1
GDS 0.224877 100000000 1
CopyCPU 0.473787 100000000 1
GDS 0.0009307 10 1
CopyCPU 2.3339e-05 10 1
GDS 0.000592593 100 1
CopyCPU 4.0233e-05 100 1
GDS 0.000599439 1000 1
CopyCPU 3.3215e-05 1000 1
GDS 0.00138639 10000 1
CopyCPU 7.7142e-05 10000 1
GDS 0.00158695 100000 1
CopyCPU 0.000656681 100000 1
GDS 0.00374993 1000000 1
CopyCPU 0.00392772 1000000 1
GDS 0.0226879 10000000 1
CopyCPU 0.0583994 10000000 1
GDS 0.23734 100000000 1
CopyCPU 0.486347 100000000 1
GDS 0.00112656 10 1
CopyCPU 5.1006e-05 10 1
GDS 0.000588833 100 1
CopyCPU 2.3548e-05 100 1
GDS 0.000612091 1000 1
CopyCPU 3.4223e-05 1000 1
GDS 0.0014053 10000 1
CopyCPU 0.000183883 10000 1
GDS 0.00177069 100000 1
CopyCPU 0.000456634 100000 1
GDS 0.00336374 1000000 1
CopyCPU 0.00397241 1000000 1
GDS 0.0227553 10000000 1
CopyCPU 0.055387 10000000 1
GDS 0.220539 100000000 1
CopyCPU 0.469378 100000000 1
GDS 0.000947814 10 1
CopyCPU 2.4148e-05 10 1
GDS 0.000603801 100 1
CopyCPU 2.8907e-05 100 1
GDS 0.000630956 1000 1
CopyCPU 3.4514e-05 1000 1
GDS 0.00134371 10000 1
CopyCPU 7.0266e-05 10000 1
GDS 0.00155929 100000 1
CopyCPU 0.00105716 100000 1
GDS 0.00347317 1000000 1
CopyCPU 0.00447567 1000000 1
GDS 0.0180221 10000000 1
CopyCPU 0.0481454 10000000 1
GDS 0.212453 100000000 1
CopyCPU 0.458851 100000000 1
GDS 0.00101939 10 1
CopyCPU 5.0655e-05 10 1
GDS 0.000585817 100 1
CopyCPU 2.3834e-05 100 1
GDS 0.000611965 1000 1
CopyCPU 3.4522e-05 1000 1
GDS 0.00133269 10000 1
CopyCPU 7.9477e-05 10000 1
GDS 0.0016586 100000 1
CopyCPU 0.000572104 100000 1
GDS 0.00441854 1000000 1
CopyCPU 0.00458385 1000000 1
GDS 0.0267055 10000000 1
CopyCPU 0.0462945 10000000 1
GDS 0.210926 100000000 1
CopyCPU 0.467361 100000000 1
GDS 0.224662 100000000 1
CopyCPU 0.474097 100000000 1
GDS 0.46792 200000000 1
CopyCPU 0.964502 200000000 1
GDS 0.795832 300000000 1
CopyCPU 1.45516 300000000 1
GDS 1.01418 400000000 1
CopyCPU 1.90579 400000000 1
GDS 1.13895 500000000 1
CopyCPU 2.33073 500000000 1
GDS 0.226613 100000000 1
CopyCPU 0.472698 100000000 1
GDS 0.437636 200000000 1
CopyCPU 0.939996 200000000 1
GDS 0.70436 300000000 1
CopyCPU 1.41787 300000000 1
GDS 0.852481 400000000 1
CopyCPU 1.86921 400000000 1
GDS 1.21564 500000000 1
CopyCPU 2.35815 500000000 1
GDS 0.21056 100000000 1
CopyCPU 0.473463 100000000 1
GDS 0.415715 200000000 1
CopyCPU 0.950988 200000000 1
GDS 0.697825 300000000 1
CopyCPU 1.40847 300000000 1
GDS 0.949173 400000000 1
CopyCPU 1.89898 400000000 1
GDS 1.37041 500000000 1
CopyCPU 2.33396 500000000 1
